Rainfall,Year,Month,ISO3
27.0004,2013,Jan,AFG
58.6508,2013,Feb,AFG
93.0974,2013,Mar,AFG
57.7386,2013,Apr,AFG
5.9039,2013,May,AFG
11.1305,2013,Jun,AFG
8.72686,2013,Jul,AFG
14.5942,2013,Aug,AFG
3.17636,2013,Sep,AFG
24.9781,2013,Oct,AFG
28.1207,2013,Nov,AFG
13.8474,2013,Dec,AFG
22.0419,2014,Jan,AFG
45.2999,2014,Feb,AFG
86.3087,2014,Mar,AFG
50.7113,2014,Apr,AFG
26.9611,2014,May,AFG
4.5591,2014,Jun,AFG
6.58225,2014,Jul,AFG
7.48296,2014,Aug,AFG
3.40702,2014,Sep,AFG
14.6601,2014,Oct,AFG
36.8466,2014,Nov,AFG
6.74625,2014,Dec,AFG
39.1114,2015,Jan,AFG
85.8241,2015,Feb,AFG
84.8404,2015,Mar,AFG
42.8442,2015,Apr,AFG
28.9883,2015,May,AFG
6.86077,2015,Jun,AFG
11.224,2015,Jul,AFG
17.4394,2015,Aug,AFG
5.54208,2015,Sep,AFG
21.715,2015,Oct,AFG
34.7023,2015,Nov,AFG
22.3063,2015,Dec,AFG
50.3363,2016,Jan,AFG
14.2896,2016,Feb,AFG
93.7387,2016,Mar,AFG
51.9724,2016,Apr,AFG
32.7644,2016,May,AFG
7.58761,2016,Jun,AFG
11.4899,2016,Jul,AFG
7.8015,2016,Aug,AFG
3.11236,2016,Sep,AFG
2.29046,2016,Oct,AFG
32.4029,2016,Nov,AFG
31.191,2016,Dec,AFG
37.4934,1991,Jan,ALB
120.416,1991,Feb,ALB
63.3037,1991,Mar,ALB
126.084,1991,Apr,ALB
85.4947,1991,May,ALB
32.1569,1991,Jun,ALB
76.3838,1991,Jul,ALB
42.7505,1991,Aug,ALB
55.2794,1991,Sep,ALB
89.9531,1991,Oct,ALB
145.106,1991,Nov,ALB
43.4473,1991,Dec,ALB
26.7264,1992,Jan,ALB
22.3447,1992,Feb,ALB
40.1933,1992,Mar,ALB
147.636,1992,Apr,ALB
65.1148,1992,May,ALB
95.4325,1992,Jun,ALB
53.3617,1992,Jul,ALB
12.8098,1992,Aug,ALB
36.1054,1992,Sep,ALB
97.6529,1992,Oct,ALB
80.1566,1992,Nov,ALB
120.162,1992,Dec,ALB
32.6432,1993,Jan,ALB
45.0802,1993,Feb,ALB
95.5706,1993,Mar,ALB
61.0221,1993,Apr,ALB
106.746,1993,May,ALB
36.7896,1993,Jun,ALB
8.53627,1993,Jul,ALB
12.3059,1993,Aug,ALB
70.8277,1993,Sep,ALB
70.0062,1993,Oct,ALB
219.471,1993,Nov,ALB
102.276,1993,Dec,ALB
142,1994,Jan,ALB
107.67,1994,Feb,ALB
22.6095,1994,Mar,ALB
126.862,1994,Apr,ALB
81.3266,1994,May,ALB
59.7012,1994,Jun,ALB
36.8604,1994,Jul,ALB
49.5882,1994,Aug,ALB
60.2347,1994,Sep,ALB
106.07,1994,Oct,ALB
95.1727,1994,Nov,ALB
118.117,1994,Dec,ALB
121.497,1995,Jan,ALB
56.5508,1995,Feb,ALB
108.231,1995,Mar,ALB
79.1179,1995,Apr,ALB
74.7577,1995,May,ALB
26.1716,1995,Jun,ALB
70.9005,1995,Jul,ALB
125.52,1995,Aug,ALB
97.0654,1995,Sep,ALB
8.45294,1995,Oct,ALB
101.446,1995,Nov,ALB
207.101,1995,Dec,ALB
104.838,1996,Jan,ALB
141.599,1996,Feb,ALB
110.794,1996,Mar,ALB
83.6534,1996,Apr,ALB
69.9186,1996,May,ALB
26.2534,1996,Jun,ALB
15.4274,1996,Jul,ALB
56.1261,1996,Aug,ALB
154.187,1996,Sep,ALB
113.208,1996,Oct,ALB
120.708,1996,Nov,ALB
152.666,1996,Dec,ALB
77.4945,1997,Jan,ALB
40.241,1997,Feb,ALB
31.2609,1997,Mar,ALB
97.4429,1997,Apr,ALB
34.3158,1997,May,ALB
32.1301,1997,Jun,ALB
25.9727,1997,Jul,ALB
58.2482,1997,Aug,ALB
18.5151,1997,Sep,ALB
165.422,1997,Oct,ALB
126.717,1997,Nov,ALB
138.908,1997,Dec,ALB
77.628,1998,Jan,ALB
67.3887,1998,Feb,ALB
30.3207,1998,Mar,ALB
51.2141,1998,Apr,ALB
109.99,1998,May,ALB
28.0436,1998,Jun,ALB
29.8787,1998,Jul,ALB
28.4363,1998,Aug,ALB
131.267,1998,Sep,ALB
92.8693,1998,Oct,ALB
201.082,1998,Nov,ALB
114.234,1998,Dec,ALB
107.851,1999,Jan,ALB
101.015,1999,Feb,ALB
106.383,1999,Mar,ALB
70.3827,1999,Apr,ALB
44.9119,1999,May,ALB
61.0875,1999,Jun,ALB
51.0273,1999,Jul,ALB
52.3732,1999,Aug,ALB
69.4496,1999,Sep,ALB
83.2043,1999,Oct,ALB
128.918,1999,Nov,ALB
187.86,1999,Dec,ALB
32.0948,2000,Jan,ALB
81.4036,2000,Feb,ALB
39.5778,2000,Mar,ALB
54.9751,2000,Apr,ALB
28.6229,2000,May,ALB
35.7538,2000,Jun,ALB
34.9278,2000,Jul,ALB
7.53663,2000,Aug,ALB
65.2829,2000,Sep,ALB
111.189,2000,Oct,ALB
164.428,2000,Nov,ALB
98.9828,2000,Dec,ALB
126.632,2001,Jan,ALB
62.9108,2001,Feb,ALB
60.4456,2001,Mar,ALB
123.014,2001,Apr,ALB
65.0348,2001,May,ALB
26.9683,2001,Jun,ALB
22.8882,2001,Jul,ALB
23.098,2001,Aug,ALB
63.6019,2001,Sep,ALB
14.0733,2001,Oct,ALB
88.3872,2001,Nov,ALB
101.117,2001,Dec,ALB
48.8068,2002,Jan,ALB
29.4208,2002,Feb,ALB
62.3789,2002,Mar,ALB
122.602,2002,Apr,ALB
70.4988,2002,May,ALB
29.0813,2002,Jun,ALB
70.3501,2002,Jul,ALB
94.89,2002,Aug,ALB
151.257,2002,Sep,ALB
93.5184,2002,Oct,ALB
64.7226,2002,Nov,ALB
211.289,2002,Dec,ALB
183.728,2003,Jan,ALB
68.2509,2003,Feb,ALB
22.2857,2003,Mar,ALB
55.4332,2003,Apr,ALB
45.2381,2003,May,ALB
35.9667,2003,Jun,ALB
29.0314,2003,Jul,ALB
40.1414,2003,Aug,ALB
96.7162,2003,Sep,ALB
190.108,2003,Oct,ALB
81.4206,2003,Nov,ALB
104.3,2003,Dec,ALB
129.288,2004,Jan,ALB
55.9874,2004,Feb,ALB
89.4995,2004,Mar,ALB
90.305,2004,Apr,ALB
91.1766,2004,May,ALB
96.1101,2004,Jun,ALB
56.0971,2004,Jul,ALB
30.5722,2004,Aug,ALB
68.0157,2004,Sep,ALB
90.8403,2004,Oct,ALB
115.326,2004,Nov,ALB
128.993,2004,Dec,ALB
92.7597,2005,Jan,ALB
129.504,2005,Feb,ALB
95.9816,2005,Mar,ALB
50.7245,2005,Apr,ALB
54.2769,2005,May,ALB
35.4775,2005,Jun,ALB
52.5755,2005,Jul,ALB
52.1555,2005,Aug,ALB
89.302,2005,Sep,ALB
88.8284,2005,Oct,ALB
122.446,2005,Nov,ALB
144.117,2005,Dec,ALB
104.78,2006,Jan,ALB
97.822,2006,Feb,ALB
119.15,2006,Mar,ALB
75.4307,2006,Apr,ALB
44.0517,2006,May,ALB
76.7663,2006,Jun,ALB
48.7989,2006,Jul,ALB
77.8075,2006,Aug,ALB
137.567,2006,Sep,ALB
68.2945,2006,Oct,ALB
57.7761,2006,Nov,ALB
72.4435,2006,Dec,ALB
54.018,2007,Jan,ALB
109.726,2007,Feb,ALB
108.86,2007,Mar,ALB
40.1885,2007,Apr,ALB
98.6497,2007,May,ALB
46.6286,2007,Jun,ALB
5.70351,2007,Jul,ALB
32.3943,2007,Aug,ALB
87.9626,2007,Sep,ALB
153.659,2007,Oct,ALB
162.224,2007,Nov,ALB
90.8789,2007,Dec,ALB
66.094,2008,Jan,ALB
31.7455,2008,Feb,ALB
122.645,2008,Mar,ALB
104.486,2008,Apr,ALB
47.1399,2008,May,ALB
92.9053,2008,Jun,ALB
32.7213,2008,Jul,ALB
7.74651,2008,Aug,ALB
113.909,2008,Sep,ALB
46.2237,2008,Oct,ALB
124.617,2008,Nov,ALB
188.646,2008,Dec,ALB
195.175,2009,Jan,ALB
78.4493,2009,Feb,ALB
135.57,2009,Mar,ALB
77.8671,2009,Apr,ALB
39.4951,2009,May,ALB
115.144,2009,Jun,ALB
25.6286,2009,Jul,ALB
65.3676,2009,Aug,ALB
68.7456,2009,Sep,ALB
172.231,2009,Oct,ALB
117.791,2009,Nov,ALB
178.908,2009,Dec,ALB
114.964,2010,Jan,ALB
170.743,2010,Feb,ALB
89.0908,2010,Mar,ALB
65.0701,2010,Apr,ALB
85.9549,2010,May,ALB
71.9498,2010,Jun,ALB
22.2842,2010,Jul,ALB
11.0346,2010,Aug,ALB
132.271,2010,Sep,ALB
212.571,2010,Oct,ALB
186.83,2010,Nov,ALB
131.414,2010,Dec,ALB
87.1481,2011,Jan,ALB
56.7609,2011,Feb,ALB
77.3145,2011,Mar,ALB
49.9504,2011,Apr,ALB
64.6709,2011,May,ALB
34.6127,2011,Jun,ALB
34.924,2011,Jul,ALB
27.2987,2011,Aug,ALB
47.2784,2011,Sep,ALB
69.4149,2011,Oct,ALB
44.8628,2011,Nov,ALB
123.82,2011,Dec,ALB
55.9501,2012,Jan,ALB
122.873,2012,Feb,ALB
45.3537,2012,Mar,ALB
139.932,2012,Apr,ALB
106.267,2012,May,ALB
29.5326,2012,Jun,ALB
9.65832,2012,Jul,ALB
12.3928,2012,Aug,ALB
80.8811,2012,Sep,ALB
99.6808,2012,Oct,ALB
120.244,2012,Nov,ALB
155.612,2012,Dec,ALB
144.228,2013,Jan,ALB
161.578,2013,Feb,ALB
103.987,2013,Mar,ALB
45.2612,2013,Apr,ALB
65.3966,2013,May,ALB
89.4876,2013,Jun,ALB
23.816,2013,Jul,ALB
13.7313,2013,Aug,ALB
61.5709,2013,Sep,ALB
61.7158,2013,Oct,ALB
151.29,2013,Nov,ALB
85.5447,2013,Dec,ALB
126.288,2014,Jan,ALB
104.616,2014,Feb,ALB
98.1594,2014,Mar,ALB
116.298,2014,Apr,ALB
66.2309,2014,May,ALB
83.3413,2014,Jun,ALB
76.7092,2014,Jul,ALB
28.0147,2014,Aug,ALB
167.336,2014,Sep,ALB
107.607,2014,Oct,ALB
138.511,2014,Nov,ALB
163.727,2014,Dec,ALB
114.057,2015,Jan,ALB
126.666,2015,Feb,ALB
126.853,2015,Mar,ALB
38.2039,2015,Apr,ALB
30.2945,2015,May,ALB
68.1053,2015,Jun,ALB
7.19228,2015,Jul,ALB
66.3242,2015,Aug,ALB
116.969,2015,Sep,ALB
154.238,2015,Oct,ALB
85.7837,2015,Nov,ALB
2.95994,2015,Dec,ALB
115.106,2016,Jan,ALB
79.2898,2016,Feb,ALB
157.058,2016,Mar,ALB
59.5252,2016,Apr,ALB
157.116,2016,May,ALB
105.442,2016,Jun,ALB
38.1605,2016,Jul,ALB
24.4961,2016,Aug,ALB
131.545,2016,Sep,ALB
125.878,2016,Oct,ALB
97.5392,2016,Nov,ALB
4.58845,2016,Dec,ALB
5.26344,1991,Jan,DZA
10.8985,1991,Feb,DZA
17.8335,1991,Mar,DZA
4.77022,1991,Apr,DZA
9.42697,1991,May,DZA
1.70718,1991,Jun,DZA
2.01097,1991,Jul,DZA
6.37045,1991,Aug,DZA
5.10464,1991,Sep,DZA
11.9126,1991,Oct,DZA
6.24034,1991,Nov,DZA
6.59395,1991,Dec,DZA
9.79668,1992,Jan,DZA
5.36774,1992,Feb,DZA
14.3396,1992,Mar,DZA
10.4131,1992,Apr,DZA
12.2178,1992,May,DZA
3.02178,1992,Jun,DZA
5.79686,1992,Jul,DZA
2.12033,1992,Aug,DZA
2.89632,1992,Sep,DZA
2.9782,1992,Oct,DZA
9.55368,1992,Nov,DZA
9.57095,1992,Dec,DZA
3.03717,1993,Jan,DZA
10.8705,1993,Feb,DZA
6.71961,1993,Mar,DZA
4.81104,1993,Apr,DZA
5.18628,1993,May,DZA
0.97462,1993,Jun,DZA
1.07214,1993,Jul,DZA
4.83205,1993,Aug,DZA
4.22312,1993,Sep,DZA
5.40396,1993,Oct,DZA
9.31859,1993,Nov,DZA
5.97452,1993,Dec,DZA
